id,network,name,state,lat,lon,elevation_m,in_range,km_outside,n_seasons
GMU,SC_ASOS,Greenville - Downtown,SC,34.8419,-82.349,304.0,False,83.0,26
GRD,SC_ASOS,GREENWOOD COUNTY AIRPORT,SC,34.25,-82.16,192.0,False,17.1,26
GSP,SC_ASOS,Greenville - Spartanburg,SC,34.9061,-82.2125,294.0,False,86.3,26
GYH,SC_ASOS,Greenville,SC,34.7583,-82.3764,291.0,False,75.5,21
HVS,SC_ASOS,Hartsville,SC,34.4031,-80.1192,110.9,True,0.0,16
HXD,SC_ASOS,Hilton Head Island,SC,32.2244,-80.6975,5.0,True,0.0,22
HYW,SC_ASOS,Conway,SC,33.8285,-79.1222,10.7,True,0.0,17
JZI,SC_ASOS,Charleston Exec,SC,32.7009,-80.0029,5.2,True,0.0,17
LKR,SC_ASOS,Lancaster,SC,34.723,-80.8544,148.1,False,19.4,16
LQK,SC_ASOS,Pickens County,SC,34.81,-82.7029,308.0,False,96.5,24
LUX,SC_ASOS,Laurens,SC,34.5071,-81.9472,212.4,False,40.1,15
MAO,SC_ASOS,Marion,SC,34.1812,-79.3347,28.0,True,0.0,17
MKS,SC_ASOS,Moncks Corner,SC,33.1855,-80.0362,22.3,True,0.0,15
MMT,SC_ASOS,MCENTIRE ANG BASE,SC,33.92,-80.8,77.0,True,0.0,17
MYR,SC_ASOS,MYRTLE BEACH(CIV),SC,33.68,-78.93,8.0,True,0.0,26
NBC,SC_ASOS,BEAUFORT MCAS,SC,32.4774,-80.7232,12.0,True,0.0,24
OGB,SC_ASOS,ORANGEBURG,SC,33.4568,-80.8595,60.0,True,0.0,26
RBW,SC_ASOS,Walterboro,SC,32.921,-80.6406,30.8,True,0.0,18
SPA,SC_ASOS,Spartanburg,SC,34.9157,-81.9565,244.1,False,85.4,17
SSC,SC_ASOS,SHAW AFB/SUMTER,SC,33.97,-80.47,74.0,True,0.0,26
UDG,SC_ASOS,DARLINGTON COUNTY JETPORT,SC,34.45,-79.89,59.0,True,0.0,21
CHA,TN_ASOS,CHATTANOOGA/LOVELL,TN,35.0353,-85.2038,210.0,False,74.8,26
BPT,TX_ASOS,Beaumont - Port Arthur,TX,29.9521,-94.0261,4.5784636,False,12.3,26
CXO,TX_ASOS,CONROE/MONTGOMERY COUNTY AIRPORT,TX,30.3524,-95.4145,75.0,False,52.9,26
DWH,TX_ASOS,HOUSTON/D.W. HOOKS,TX,30.068,-95.5562,46.0,False,73.8,26
EFD,TX_ASOS,HOUSTON/ELLINGTON,TX,29.6073,-95.1588,10.0,False,46.9,25
GGG,TX_ASOS,LONGVIEW/GREGG CO.,TX,32.384,-94.7115,124.0,False,93.0,26
GLS,TX_ASOS,GALVESTON/SCHOLES,TX,29.2653,-94.8604,16.0,False,45.9,26
HOU,TX_ASOS,HOUSTON/WILL HOBBY,TX,29.6375,-95.2824,14.0,False,58.4,26
IAH,TX_ASOS,Houston Intercontinental,TX,29.9844,-95.3607,28.0,False,60.9,26
JAS,TX_ASOS,JASPER COUNTY-BELL FIELD AIRPORT,TX,30.8857,-94.0349,65.0,True,0.0,23
JSO,TX_ASOS,JACKSONVILLE,TX,31.87,-95.22,206.0,False,84.8,19
LBX,TX_ASOS,ANGLETON/LAKE JACKS,TX,29.1086,-95.4621,8.0,False,98.2,24
LFK,TX_ASOS,LUFKIN/ANGELINA CO.,TX,31.234,-94.75,88.0,False,11.0,24
LVJ,TX_ASOS,Pearland Regional,TX,29.5189,-95.2417,13.164371,False,56.9,24
ORG,TX_ASOS,Orange,TX,30.0692,-93.8036,4.0,False,14.7,18
PSN,TX_ASOS,PALESTINE,TX,31.7797,-95.7063,129.0,False,92.3,21
SGR,TX_ASOS,HOUSTON/HULL FIELD,TX,29.6222,-95.6565,2.0,False,94.6,26
UTS,TX_ASOS,HUNTSVILLE MUNICIPAL AIRPORT,TX,30.7469,-95.5872,112.0,False,41.7,26
AKQ,VA_ASOS,WAKEFIELD (NEXRAD),VA,36.9839,-77.0072,64.0,False,22.0,25
AVC,VA_ASOS,SOUTH HILL/MECKLENBURG-BRUNSWICK,VA,36.6883,-78.0545,135.0,False,14.1,22
CPK,VA_ASOS,CHESAPEAKE,VA,36.6656,-76.3207,6.0,True,0.0,25
EMV,VA_ASOS,EMPORIA-GREENSVILLE RGL AIRPORT,VA,36.6869,-77.4828,39.0,False,3.8,20
